source,target
"fatigue, blurred vision, frequent urination, weight loss, increased thirst since yesterday",diabetes
"persistent sadness, loss of interest",depression
"vomiting, stomach cramps",gastroenteritis
"I have fever, loss of appetite, nausea",appendicitis
fever,otitis_media
nasal congestion,common_cold
"sleep disturbance, persistent sadness, fatigue, loss of interest",depression
"blisters, red patches and itchy skin",eczema
"loss of taste, dry cough",covid-19
shortness of breath and trembling,anxiety
"rapid heartbeat, headache, sweating, restlessness",anxiety
"fractures, hearing difficulty, fever, ear drainage, back pain and ear pain",otitis_media
"frequent urination, visual aura, increased thirst, sensitivity to light, fatigue, weight loss",diabetes
wheezing,asthma
"pale skin, dizziness, loss of smell, shortness of breath, fatigue",anemia
"chest discomfort, shortness of breath and mucus",bronchitis
"fever, nausea",appendicitis
severe persistent sadness for several mon,depression
mild loss of height,osteoporosis
shortness of breath for several months,anemia
"fever, ear drainage, ear pain, left arm pain",otitis_media
"sneezing, nausea, runny nose, fever, loss of appetite, right lower abdominal pain",appendicitis
ear drainage,otitis_media
diarrhea and stomach cramps for a week,gastroenteritis
"fever, dry cough",covid-19
mild right lower abdominal pain,appendicitis
"dry skin, blisters, red patches",eczema
vomiting,gastroenteritis
mild right lower abdominal pain,appendicitis
"sensitivity to light, severe headache",migraine
"loss of smell, dry cough, loss of taste, fever, fatigue",covid-19
"pale skin, dizziness, increased thirst",anemia
ear pain,otitis_media
"itchy skin, wheezing, red patches, blisters",eczema
"I have nausea, visual aura, shortness of breath",migraine
"I have loss of appetite, nausea and right lower abdominal pain",appendicitis
"I have stomach cramps, nausea, diarrhea, vo",gastroenteritis
"weight loss, frequent urination for several m",diabetes
"ear drainage, ear pain, hearing difficulty",otitis_media
"dry cough, loss of smell, fatigue, fever for several mo",covid-19
"fever, loss of smell, fever, dry cough, chest pain, fatigue",covid-19
"mild cough, nasal congestion, runny nose",common_cold
"chest pain, left arm pain, runny nose, mild cough",heart_disease
"severe sensitivity to light, nausea",migraine
blisters,bronchitis
"chills, fever, ear pain, sore thro",influenza
"bone pain, loss of height for a week",osteoporosis
"sensitivity to light, nausea, severe headache and visual aura for 2 days",migraine
"dry cough, fever, loss of smell, fatigue, loss of taste",covid-19
blurred vision and nosebleed,hypertension
"persistent sadness, loss of interest, sleep disturbance, loss of taste since yesterday",depression
"nausea, loss of appetite and loss of interest",appendicitis
"severe urgency, frequent urination",urinary_tract_infection
"frequent urination, ear pain, fatigue, weight loss, blurred vision",diabetes
burning urination,urinary_tract_infection
"Patient reports nausea, fatigue, frequent urination and increased thirst",diabetes
"persistent cough, shortness of breath, headache and nosebleed",bronchitis
"loss of appetite, fever, nausea",appendicitis
"shortness of breath, left arm pain, chest pain, sweating",heart_disease
I have chest pain and fever,pneumonia
"dizziness, fatigue, shortness of breath",anemia
"rapid heartbeat, loss of height, trembling, b",anxiety
"visual aura, severe headache, sensitivity to light and nausea",migraine
"chest pain, wheezing, shortness of breath, chest tightness",asthma
"runny nose, nasal congestion, mild cough, sneezing",common_cold
"right lower abdominal pain, nausea",appendicitis
"burning urination, lower abdominal pain, frequent urination",urinary_tract_infection
"moderate sleep disturbance, persistent sadness and loss of interest",depression
"Patient reports shortness of breath, sweating, persistent sadness, left arm pain, sleep disturbance, chest pain",heart_disease
"productive cough, shortness of breath, chest pain, fever",pneumonia
"lower abdominal pain, frequent urination for several months",urinary_tract_infection
"lower abdominal pain, urgency, frequent urination",urinary_tract_infection
"Patient reports back pain, fractures",osteoporosis
"sweating, trembling, restlessness, rapid heartbeat for 2 days",anxiety
"mild night cough, wheezing, shortness of breath",asthma
"loss of height, bone pain, fractures",osteoporosis
"fever, ear pain",otitis_media
"fever, right lower abdominal pain",appendicitis
"loss of taste, fatigue, dry cough, fever, loss of smell",covid-19
"mild body ache, sore throat, chills",influenza
"burning urination, urgency, lower abdominal pain",urinary_tract_infection
"loss of interest, persistent sadness",depression
"shortness of breath, chest discomfort and persisten",bronchitis
Patient reports mucus for 2 days,bronchitis
"sweating, left arm pain",heart_disease
"vomiting, nausea, diarrhea, fatigue since yesterday",gastroenteritis
"stomach cramps, vomiting, diarrhea and nausea",gastroenteritis
"weight loss, blurred vision, frequent urination and fatigue",diabetes
"loss of smell, loss of taste, fatigue, fever, dry cough",covid-19
"fatigue, sweating",depression
"severe burning urination, urgency, frequent urination",urinary_tract_infection
left arm pain and sweating,heart_disease
"chest pain, shortness of breath, left arm pain, sweating",heart_disease
dizziness,hypertension
"chest tightness, wheezing, shortness of breath, night cough, fre",asthma
"fatigue, loss of interest and sleep disturbance",depression
"productive cough, shortness of breath, chest pain",pneumonia
"Patient reports trembling, sweating, rapid heartbeat, wheezing for 2 days",anxiety
vomiting and nausea,gastroenteritis
fatigue,covid-19
"Patient reports loss of smell, fever, dry cough, loss of taste, fatigue, trembling",covid-19
"ear pain, dry cough, fever, fatigue, loss of smell",covid-19
"wheezing, ear pain, ear drainage, fever for 2 days",otitis_media
Patient reports fever since yesterday,pneumonia
"loss of smell, fever, loss of taste and dry cough",covid-19
"sensitivity to light, nausea, severe headache",migraine
"increased thirst, nasal congestion, blurred vision, frequent urination, itchy eyes",diabetes
"Complains of frequent urination, burning urination, lower abdominal pain",urinary_tract_infection
"fatigue, loss of interest",depression
"persistent cough, chest discomfort",bronchitis
ear pain,otitis_media
shortness of breath,covid-19
"Complains of sweating, restlessness, trembling and rapid heartbeat",anxiety
"moderate lower abdominal pain, left arm pain and frequent urination",urinary_tract_infection
"blurred vision, headache",hypertension
"mild nosebleed, headache",hypertension
"fever, loss of taste",covid-19
"fever, ear pain, hearing difficulty",otitis_media
"hearing difficulty, ear pain",otitis_media
"weight loss, increased thirst, blurred vision, frequent urination and fatigue",diabetes
"nausea, loss of appetite, right lower abdominal pain, fever",appendicitis
"red patches, blisters",eczema
"pale skin, dizziness, shortness of breath",anemia
"red patches, dry skin, itchy skin since yesterday",eczema
"shortness of breath, productive cough, chest pain and fever for a week",pneumonia
"persistent sadness, sleep disturbance, fatigue",depression
weight loss and blurred vision,diabetes
"visual aura, pale skin, shortness o",anemia
"blisters, red patches",eczema
sleep disturbance,depression
"red patches, dry skin and itchy skin",eczema
"I have loss of appetite, fever, right lower a",appendicitis
"Patient reports dry cough, fatigue, night cough and loss of smell",covid-19
"frequent urination, urgency, lower abdominal pain, burning urination",urinary_tract_infection
red patches,eczema
severe headache,migraine
"moderate runny nose, itchy eyes, nasal congestion, sneezing and nasal congestion",allergic_rhinitis
mild sweating for a week,anxiety
I have burning urination,urinary_tract_infection
"chest pain, shortness of breath, sweating, left arm pain",heart_disease
chest discomfort for 2 days,bronchitis
"chest pain, fever",pneumonia
"fatigue, mucus, fever, body ache and sore throat",influenza
"shortness of breath, productive cough, bone pain",pneumonia
Patient reports moderate mucus and chest discomfort,bronchitis
"loss of interest, burning urination, urgency, persistent sadness",urinary_tract_infection
"fatigue, sleep disturbance, persistent sadness and ",depression
"I have cough, sore throat, fatigue, fever for a week",influenza
fractures,osteoporosis
increased thirst and fatigue,diabetes
"blurred vision, headache, dizziness",hypertension
"mild dizziness, headache",hypertension
"I have sneezing, nasal congestion, runny nose, mild cough",common_cold
"mild sneezing, increased thirst, blurred vision, weight loss, fatigue",diabetes
"blurred vision, diarrhea, weight loss, frequent urination, increased thirst, fatigue for several months",diabetes
"Patient reports visual aura, sensitivity to light, severe headache",migraine
"shortness of breath, chest pain, sweating, left arm pain",heart_disease
severe headache,osteoporosis
"dizziness, night cough",hypertension
"mild fever, right lower abdominal pain, loss of appetite, nausea",appendicitis
"loss of height, bone pain",osteoporosis
Patient reports fatigue,diabetes
"headache, dizziness and nosebleed",hypertension
"wheezing, chest tightness and night cough",asthma
"sweating, rapid heartbeat, hearing difficulty, trembling, restlessness and fever",anxiety
Patient reports vomiting,gastroenteritis
"headache, nosebleed, dizziness and blurred vision",hypertension
"nosebleed, blurred vision, dizziness since yesterday",hypertension
fatigue,depression
"nausea, sweating, diarrhea, vomiting",gastroenteritis
frequent urination,urinary_tract_infection
"Patient reports nasal congestion, itchy eyes",allergic_rhinitis
shortness of breath,asthma
"runny nose, sneezing for 2 days",common_cold
"ear drainage, hearing difficulty, ear pain and red patches",otitis_media
"severe ear pain, fever, hearing difficulty",otitis_media
"mucus, shortness of breath, chest discomfort",bronchitis
"Patient reports sweating, rapid heartbeat, trembling and restlessness",anxiety
"nasal congestion, runny nose, sneezing",common_cold
"shortness of breath, productive cough, chest pain, fever",pneumonia
"blisters, dry skin",eczema
sweating,heart_disease
"chest pain, shortness of breath, productive cough and fever",pneumonia
"sensitivity to light, visual aura, nausea and severe headache",migraine
wheezing,asthma
"nosebleed, dizziness, blurred vision",hypertension
itchy skin,eczema
"fever, ear pain, ear drainage and hearing difficulty",otitis_media
"burning urination, frequent urination",urinary_tract_infection
"runny nose, sneezing, nasal congestion, itchy eyes",allergic_rhinitis
"persistent sadness, fatigue, shortness of breath, loss of interest, fever and sleep disturbance",depression
"nausea, diarrhea, vomiting and stomach cramps",gastroenteritis
"chest pain, left arm pain, sweating and shortness of breath",heart_disease
"sweating, rapid heartbeat",anxiety
"body ache, fever",influenza
nasal congestion and sneezing for a week,common_cold
fever,pneumonia
"pale skin, weight loss",diabetes
Patient reports severe sneezing,common_cold
"loss of interest, persistent sadness, increased thirst, fatigue, sleep disturbance",depression
"moderate hearing difficulty, ear pain, ear drainage",otitis_media
"Patient reports severe dizziness, pale skin",anemia
moderate itchy skin,eczema
"mucus, shortness of breath",bronchitis
"fatigue, loss of smell, fever, dry cough",covid-19
"headache, dizziness",hypertension
severe blurred vision,diabetes
"Complains of restlessness, sweating",anxiety
"loss of height, back pain, bone pain, fractures",osteoporosis
"runny nose, nasal congestion, sneezing, itchy eyes",allergic_rhinitis
"shortness of breath, pale skin, dizziness and fatigue",anemia
"burning urination, urgency, lower abdominal pain for a week",urinary_tract_infection
moderate ear pain,otitis_media
frequent urination,urinary_tract_infection
"Patient reports sensitivity to light, visual aur",migraine
"shortness of breath, chest pain, fever and productive cough",pneumonia
fractures and bone pain,osteoporosis
"persistent cough, shortness of breath, chest discomfort",bronchitis
"bone pain, persistent sadness, fractures, back pain, loss of interest and loss of height",osteoporosis
"diarrhea, vomiting, nausea, stomach cramps",gastroenteritis
"sore throat, body ache",influenza
"sneezing, nasal congestion, runny nose for a week",common_cold
"urgency, lower abdominal pain, frequent urinat",urinary_tract_infection
"sweating, left arm pain",heart_disease
"nosebleed, blurred vision, dizziness, headac",hypertension
"severe stomach cramps, frequent urination, increased thirst, weight loss and blurred vision",diabetes
"nasal congestion, sneezing, itchy eyes, chest tightn",allergic_rhinitis
"ear pain, red patches, itchy skin",eczema
"back pain, fractures, loss of height",osteoporosis
"sore throat, body ache, fever, chills, fatigue",influenza
loss of smell since yesterday,covid-19
"Complains of severe headache, nausea, sensitivity to light, visual aura",migraine
"trembling, fatigue, rapid heartbeat, restlessness",anxiety
"itchy eyes, sneezing, nasal congestion",allergic_rhinitis
"fatigue, body ache, chills, fever, cough",influenza
Complains of right lower abdominal pain and fever,appendicitis
"I have persistent sadness, sleep disturbance",depression
"red patches, lower abdominal pain and itchy skin",eczema
"increased thirst, blurred vision, frequent urination",diabetes
"visual aura, severe headache, sensitivity to light",migraine
"body ache, fatigue, fever, cough, chills",influenza
trembling,anxiety
"hearing difficulty, ear pain",otitis_media
"nausea, fever",appendicitis
"nasal congestion, sneezing, runny nose",common_cold
"fever, fatigue, loss of taste",covid-19
fatigue and blurred vision,diabetes
"I have chest discomfort, shortness of breath, mucus and persistent cough",bronchitis
"Complains of sweating, loss of height, trembling, rapid heartbeat, restlessness",anxiety
"burning urination, lower abdominal pain, urgency and frequent urination",urinary_tract_infection
"I have blurred vision, dizziness, headache, nosebleed for several months",hypertension
"severe fractures, bone pain",osteoporosis
"dizziness, pale skin, shortness of breath, fatigue for several months",anemia
"runny nose, nasal congestion, itchy eyes",allergic_rhinitis
"mucus, chest discomfort, shortness of breath, persistent cough",bronchitis
"restlessness, fatigue",anxiety
"itchy eyes, nasal congestion, runny nose, sneezing",allergic_rhinitis
sleep disturbance,depression
"nausea, severe headache",migraine
frequent urination and urgency,urinary_tract_infection
"sweating, left arm pain, shortness of breath",heart_disease
Complains of nasal congestion,allergic_rhinitis
"persistent sadness, loss of interest, fatigue, sleep disturbance",depression
"dry skin, blisters and red patches",eczema
"mild vomiting, diarrhea and nausea since yesterday",gastroenteritis
"left arm pain, trembling",anxiety
"dry cough, fatigue, loss of taste, fever",covid-19
visual aura and severe headache,migraine
"Patient reports runny nose, sneezing, nasal congestion, itchy eyes for a week",allergic_rhinitis
"severe headache, sensitivity to light, visual aura",migraine
"nasal congestion, itchy eyes, dizziness and",allergic_rhinitis
"loss of height, dizziness, pale skin, fatigue, fractures and shortness of breath",anemia
"vomiting, loss of appetite, right lower abdominal pain, stomach cramps, diarrhea",gastroenteritis
"back pain, loss of height, bone pain",osteoporosis
"mucus, shortness of breath",bronchitis
"blisters, runny nose, nasal congestion, sneezing, red patches, itchy eyes",allergic_rhinitis
"shortness of breath, fever, fatigue, chest pain and productive cough",pneumonia
urgency,urinary_tract_infection
"loss of interest, sleep disturbance, persistent sadness, fatigue",depression
frequent urination,urinary_tract_infection
"dizziness, blurred vision, frequent urination, increased thirst and weight loss since yesterday",diabetes
"nasal congestion, itchy eyes, ches",asthma
Patient reports lower abdominal pain and burning urination,urinary_tract_infection
blisters,eczema
moderate dry skin and blisters,eczema
"Patient reports nausea, sensitivity to light, visual aura, severe headache",migraine
"chest pain, shortness of breath, productive cough",pneumonia
"I have productive cough, shortne",pneumonia
"rapid heartbeat, restlessness, sweating",anxiety
"runny nose, mild cough, frequent urination, sneezing for several months",common_cold
"fatigue, pale skin",anemia
"Complains of ear drainage, hearing difficulty, ear pain, fever",otitis_media
"dizziness, headache, blurred vision",hypertension
"I have severe fatigue, dizziness, shortness of breath",anemia
"mild fatigue, sneezing, mild cough, nasal c",common_cold
"shortness of breath, dizziness, pale skin",anemia
ear drainage,otitis_media
"I have dizziness, headache, nosebleed",hypertension
"bone pain, fractures, loss of height, dizziness, back pain, nosebleed",osteoporosis
severe headache,migraine
frequent urination,urinary_tract_infection
"night cough, wheezing, chest tightness",asthma
productive cough,pneumonia
"productive cough, chest pain, shortness of breath and fever",pneumonia
"moderate shortness of breath, sneezing and wheezing",asthma
"shortness of breath, chest discomfort",bronchitis
"night cough, shortness of breath, chest tightness, visual aura",asthma
"dizziness, headache, nosebleed and blurred vision",hypertension
"dry cough, fatigue, loss of smell for a week",covid-19
"I have mild visual aura, severe headache, sensitivity to light, nausea",migraine
ear pain,otitis_media
fever and chest pain,pneumonia
"Patient reports bone pain, loss of height",osteoporosis
"fever, fatigue, chills, sore throat, cough and body ache",influenza
"wheezing, chest tightness, night cough for a week",asthma
"weight loss, increased thirst, fatigue, fractures, blurred vision",diabetes
"severe fever, sore throat for a week",influenza
"ear drainage, fever",otitis_media
dizziness,anemia
"sweating, left arm pain, shortness of breath, chest pain",heart_disease
"ear pain, fever, hearing difficulty, ear drainage",otitis_media
"mild cough, runny nose",common_cold
"Complains of severe mild cough, runny nose, dry skin, red patches, sneezing, nasal congestion for several months",common_cold
"sleep disturbance, persistent sadness, chest discomfort",depression
fever,covid-19
moderate sneezing and blurred vision,diabetes
"fever, fatigue, body ache, sore throat for 2 days",influenza
Complains of fatigue and sleep disturbance,depression
"lower abdominal pain, fever, burning urination, frequent urination, urgency",urinary_tract_infection
"moderate sweating, rapid heartbeat, trembling",anxiety
"blurred vision, weight loss, fatigue, increased thirst",diabetes
"Patient reports stomach cramps, diarrhea, vomiting, sweating and nausea",gastroenteritis
"chest pain, productive cough, shortness of breath and fever",pneumonia
"loss of taste, urgency, frequent urination, lower abdominal pain, fatigue, burning urination",urinary_tract_infection
"pale skin, dizziness, shortness of breath and fatigue",anemia
"chest discomfort, mucus, shortness of breath since yesterday",bronchitis
"I have moderate chills, weight loss, increased thirst",diabetes
Patient reports lower abdominal pain,urinary_tract_infection
"fatigue, weight loss, shortness of ",diabetes
stomach cramps,gastroenteritis
"severe nausea, severe headache and sensitivity to light",migraine
"fatigue, persistent sadness, loss of interest",depression
"mild cough, sneezing, fatigue and runny nose",common_cold
"moderate fever, ear drainage, ear pain, hearing difficulty for several months",otitis_media
"dry skin, blisters, itchy skin",eczema
"dry skin, blisters, red patches",eczema
"bone pain, loss of height",osteoporosis
restlessness and rapid heartbeat,anxiety
"mild shortness of breath, chest pain, fever and productive cough",pneumonia
"sneezing, runny nose, nasal congestion, sneezing",allergic_rhinitis
severe stomach cramps,gastroenteritis
"shortness of breath, fever, productive cough, chest pain",pneumonia
"headache, blurred vision, nosebleed",hypertension
fever and fatigue,covid-19
"Patient reports ear pain, hearing difficulty, ear drainage, fever",otitis_media
Patient reports wheezing,asthma
"severe loss of taste, dry cough, loss of smell, back pain, fractures, fatigue",covid-19
"ear pain, fever, hearing difficulty, nausea",otitis_media
"ear drainage, fever",otitis_media
"fatigue, dizziness, back pain for 2 days",anemia
"mild dry skin, itchy skin, blisters and red patches",eczema
weight loss and frequent urination,diabetes
"chest pain, shortness of breath, red patches, fever",pneumonia
"runny nose, itchy eyes, nasal congestion, sneezing",allergic_rhinitis
"sensitivity to light, severe h",migraine
loss of smell for a week,covid-19
"moderate productive cough, shortness of breath, chest pain",pneumonia
Patient reports chest discomfort for several months,bronchitis
loss of taste,covid-19
"fatigue, nausea for 2 days",migraine
"sneezing, runny nose, itchy eyes, nasal conge",allergic_rhinitis
"chest pain, productive cough, fever and shortness of breath",pneumonia
"vomiting, itchy skin, stomach cramps",gastroenteritis
Complains of blisters,eczema
"mild pale skin, shortness of breath and fatigue",anemia
fractures for 2 days,osteoporosis
"mild runny nose, weight loss, fatigue, increased thirst",diabetes
"sweating, nasal congestion and runny nose",allergic_rhinitis
"mild dizziness, nosebleed, blurred vision, headache for several months",hypertension
restlessness and rapid heartbeat,anxiety
I have ear pain,otitis_media
"loss of height, bone pain, fractures, back pain",osteoporosis
dizziness,anemia
red patches,eczema
stomach cramps,gastroenteritis
"Patient reports mild blisters, itchy skin and fever",eczema
"nosebleed, headache",hypertension
"sweating, chest pain, left arm pain, shortness of breath",heart_disease
sweating,anxiety
"productive cough, shortness of breath, chest pain, fever since yesterday",pneumonia
"burning urination, blisters",urinary_tract_infection
"loss of smell, fatigue, dry cough",covid-19
ear drainage,otitis_media
"sleep disturbance, fatigue",depression
"moderate chest pain, sweating, shortness of breath",heart_disease
"bone pain, loss of height, back pain, fractures",osteoporosis
"fatigue, itchy skin",covid-19
fatigue,influenza
"vomiting, restlessness and trembling",anxiety
"urgency, burning urination and lower abdominal pain",urinary_tract_infection
"blurred vision, sneezing, headache, dizziness, nasal congestion, nosebleed",hypertension
"chills, cough, burning urination, frequent urination, lower abdominal pain, urgency",urinary_tract_infection
"sweating, restlessness, rapid heartbeat, trembling for 2 days",anxiety
"Patient reports red patches, blisters",eczema
"fever, loss of taste, fatigue, dry cough, loss of smell",covid-19
"Complains of chest discomfort, mucus, persistent cough",bronchitis
"mild chest discomfort, mucus, persistent cough and shortness of breath",bronchitis
fractures,osteoporosis
"trembling, sweating, restlessness, rapid heartbeat",anxiety
pale skin,anemia
Complains of frequent urination,urinary_tract_infection
moderate fatigue,anemia
stomach cramps,gastroenteritis
"loss of height, fractures",osteoporosis
"lower abdominal pain, loss of appetite, urgency",urinary_tract_infection
loss of height,osteoporosis
ear drainage for a week,otitis_media
mild frequent urination,diabetes
severe frequent urination and lower abdominal pain,urinary_tract_infection
fever,appendicitis
"dizziness, blurred vision",hypertension
shortness of breath,pneumonia
"runny nose, sneezing, dizziness and nasal congestion",common_cold
"pale skin, dizziness, fatigue, shortness of breath",anemia
itchy eyes,allergic_rhinitis
"wheezing, chest tightness, shortness of breath, night cough",asthma
"I have severe fatigue, weight loss, frequent urination and blurred vision",diabetes
"fatigue, cough, fever, body ache, sore throat",influenza
dizziness,eczema
"loss of interest, persistent sadness, fatigue, sleep disturbance",depression
shortness of breath,anemia
"frequent urination, burning urination",urinary_tract_infection
burning urination for several months,asthma
"fatigue, dizziness, pale skin",anemia
"fractures, loss of height, bone pain",osteoporosis
"severe loss of interest, sleep disturbance, persistent sadness, fatigue and sensitivity to light",depression
"fever, loss of smell",covid-19
"body ache, fatigue, fever",influenza
"rapid heartbeat, trembling, sweating",anxiety
"mucus, persistent cough, chest dis",bronchitis
dry skin and itchy skin since yesterday,eczema
moderate sneezing,common_cold
"loss of smell, loss of taste, fever, fatigue, dry cough",covid-19
fatigue,covid-19
"dizziness, shortness of breath, pale skin, fatigue",anemia
nausea,appendicitis
"nausea, fever, loss of appetite, right lower abdominal pain",appendicitis
"fatigue, loss of smell, fever, loss of tast",covid-19
"fever, dry cough, loss of taste",covid-19
"chest discomfort, fractures, back pain, loss of height, shortness of breath and bone pain",osteoporosis
"fatigue, weight loss and headache",hypertension
Patient reports sweating,anxiety
"back pain, fractures",anxiety
"moderate shortness of breath, persistent cough, chest discomfort and mucus",bronchitis
"shortness of breath, chest tightness, wheezing and night cough",asthma
mucus,bronchitis
"hearing difficulty, fever, ear drainage, ear pain",otitis_media
"nosebleed, dizziness",anxiety
"severe headache, sensitivity to light, nausea",migraine
frequent urination since yesterday,diabetes
"shortness of breath, dizziness",anemia
"sweating, chills and trembling",anxiety
"productive cough, shortness of breath, chest pain, fever",pneumonia
"mild cough, chills, fatigue, sore throat, nasal congestion",influenza
itchy eyes,allergic_rhinitis
ear pain,otitis_media
"Patient reports sneezing, runny nose",common_cold
pale skin,anemia
nausea,migraine
"persistent cough, chest discomfort, mucus, shortness of breath",bronchitis
nosebleed,hypertension
"mild ear pain, fever, ear drainage, hearing difficulty for a week",otitis_media
"sweating, chest pain",heart_disease
"itchy skin, blisters, dry skin, persistent cough",eczema
sneezing,allergic_rhinitis
"pale skin, fatigue, dizziness",anemia
"nausea, loss of appetite, right lower abdominal pain",appendicitis
"stomach cramps, vomiting, diarrhea, nausea",gastroenteritis
"Patient reports dizziness, headache, blurred vision and nosebleed",hypertension
"mild dizziness, fatigue",anemia
"wheezing, chest tightness, shortness of breath",asthma
"loss of height, fractures, back pain, bone pain",osteoporosis
fever for a week,otitis_media
"red patches, itchy skin",eczema
"shortness of breath, mucus, chest discomfort",bronchitis
wheezing,asthma
"nausea, headache, stomach cramps, dizziness",gastroenteritis
"right lower abdominal pain, visual aura, loss of appetite",appendicitis
"sneezing, runny nose and mild cough",common_cold
fatigue,influenza
"red patches, itchy skin, blisters, chest tightness",eczema
"right lower abdominal pain, fever, loss of appetite and nausea for a week",appendicitis
"bone pain, back pain, loss of height, fractures",osteoporosis
"dizziness, blurred vision, nosebleed, headache",hypertension
"hearing difficulty, fever and ear drainage",otitis_media
severe blurred vision and shortness of breath,anemia
"persistent cough, mucus, chest discomfort",bronchitis
"bone pain, loss of height",osteoporosis
"shortness of breath, wheezing, night cough, chest tightness",asthma
"frequent urination, urgency",urinary_tract_infection
pale skin,anemia
"Complains of loss of smell, fever, dry cough, loss of taste for several months",covid-19
"sensitivity to light, severe headache",migraine
"fatigue, sore throat, cough, fe",influenza
I have ear pain,otitis_media
"chest tightness, night cough",asthma
bone pain,osteoporosis
"sore throat, chills, fever, dizziness, cough, fatigue for 2 days",influenza
"sleep disturbance, loss of interest, persistent sadness",depression
"dry skin, stomach cramps, itchy skin, nausea, diarrhea and vomiting",gastroenteritis
loss of smell,covid-19
sore throat and fatigue,influenza
Patient reports dizziness and shortness of breath,anemia
"dizziness, fatigue",anemia
"shortness of breath, left arm pain, sweating and chest pain",heart_disease
"severe stomach cramps, diarrhea, vomiting, nausea",gastroenteritis
"chest discomfort, mucus",bronchitis
"moderate chest discomfort, shortness of breath, per",bronchitis
nausea,migraine
severe loss of taste and fatigue,covid-19
runny nose,common_cold
"severe red patches, itchy skin, dry skin",eczema
"chest pain, productive cough, fatigue, ",pneumonia
"trembling, restlessness",anxiety
fatigue,diabetes
"diarrhea, vomiting, nausea, stomach cramps for 2 days",gastroenteritis
"chest tightness, night cough, ",asthma
"I have loss of taste, dry cough, loss of smell and fever",covid-19
urgency,urinary_tract_infection
"chest pain, productive cough, shortness of breath, fever, chest pain and shortness of breath for a week",pneumonia
"right lower abdominal pain, fever since yesterday",appendicitis
"fatigue, fever, shortness of breath, dizziness",anemia
pale skin and fatigue,anemia
"nasal congestion, sneezing",allergic_rhinitis
"bone pain, back pain, loss of height, fractures",osteoporosis
chest tightness,asthma
